es;AUX
ha;AUX
ser;AUX
son;AUX
fue;AUX
había;AUX
era;AUX
años;NOUN
está;AUX
han;AUX
hay;AUX
vez;NOUN
puede;AUX
parte;NOUN
tiene;VERB
tiempo;NOUN
vida;NOUN
hace;VERB
gobierno;NOUN
día;NOUN
dijo;VERB
sido;AUX
gran;ADJ
país;NOUN
mundo;NOUN
año;NOUN
estado;NOUN
forma;NOUN
caso;NOUN
hacer;VERB
general;ADJ
estaba;AUX
presidente;NOUN
mayor;ADJ
casa;NOUN
hecho;ADJ
primera;ADJ
momento;NOUN
millones;NOUN
españa;NOUN
hombre;NOUN
están;AUX
lugar;NOUN
madrid;NOUN
nacional;ADJ
trabajo;NOUN
mejor;ADJ
nuevo;ADJ
decir;VERB
días;NOUN
debe;AUX
política;NOUN
tal;NOUN
pasado;ADJ
primer;ADJ
va;VERB
sea;AUX
tenía;VERB
poder;NOUN
ver;VERB
veces;NOUN
embargo;NOUN
partido;NOUN
personas;NOUN
grupo;NOUN
cuenta;VERB
pueden;AUX
tienen;VERB
nueva;ADJ
fueron;AUX
mujer;NOUN
josé;NOUN
cosas;NOUN
fin;NOUN
ciudad;NOUN
he;AUX
social;ADJ
manera;NOUN
tener;VERB
sistema;NOUN
será;AUX
historia;NOUN
juan;NOUN
tipo;NOUN
punto;NOUN
dice;VERB
noche;NOUN
agua;NOUN
parece;AUX
haber;AUX
situación;NOUN
grandes;ADJ
ejemplo;NOUN
acuerdo;NOUN
habían;AUX
estados;NOUN
hizo;VERB
países;NOUN
horas;NOUN
posible;ADJ
ley;NOUN
importante;ADJ
guerra;NOUN
desarrollo;NOUN
proceso;NOUN
realidad;NOUN
sentido;NOUN
lado;ADJ
cambio;NOUN
mano;NOUN
eran;AUX
estar;AUX
san;VERB
número;NOUN
sociedad;NOUN
centro;NOUN
padre;NOUN
gente;NOUN
final;ADJ
relación;NOUN
cuerpo;NOUN
obra;NOUN
través;NOUN
último;ADJ
madre;NOUN
modo;NOUN
problemas;NOUN
carlos;NOUN
hombres;NOUN
información;NOUN
ojos;NOUN
muerte;NOUN
nombre;NOUN
público;ADJ
mujeres;NOUN
siglo;NOUN
meses;NOUN
hora;NOUN
pueblo;NOUN
dar;VERB
problema;NOUN
don;NOUN
da;VERB
derecho;NOUN
verdad;NOUN
maría;NOUN
unidos;ADJ
podría;AUX
sería;AUX
junto;ADJ
cabeza;NOUN
luis;NOUN
tierra;NOUN
equipo;NOUN
segundo;ADJ
director;NOUN
dicho;ADJ
cierto;ADJ
casos;NOUN
